date,delta,sigma_distance,direction,macro_tag
1981-03-06,-26.999999999999957,-4.1545187414442015,down,
1981-03-23,37.0000000000001,5.701800509619366,up,
1981-04-06,33.999999999999986,5.239785544725744,up,
1981-04-07,-28.999999999999915,-4.4625287180399305,down,
1981-05-04,39.00000000000006,6.009810486215095,up,
1981-05-14,-28.999999999999915,-4.4625287180399305,down,
1981-05-18,-26.999999999999957,-4.1545187414442015,down,
1981-06-08,-24.00000000000002,-3.692503776550607,down,
1981-06-15,-23.000000000000043,-3.538498788252742,down,
1981-06-18,25.0,3.853740650044933,up,
1981-07-07,23.000000000000043,3.5457306734492033,up,
1981-07-10,-22.000000000000064,-3.384493799954877,down,
1981-07-20,46.999999999999886,7.241850392598014,up,
1981-08-03,30.999999999999872,4.777770579832122,up,
1981-08-11,-25.0,-3.8465087648484713,down,
1981-08-24,42.99999999999997,6.625830439406554,up,
1981-08-31,28.999999999999915,4.469760603236392,up,
1981-09-09,-25.99999999999998,-4.000513753146336,down,
1981-09-22,24.00000000000002,3.6997356617470682,up,
1981-09-23,27.999999999999936,4.315755614938528,up,
1981-09-25,39.00000000000006,6.009810486215095,up,
1981-10-02,-33.999999999999986,-5.232553659529282,down,
1981-10-21,27.999999999999936,4.315755614938528,up,
1981-10-26,40.000000000000036,6.16381547451296,up,
1981-10-29,-36.99999999999992,-5.694568624422876,down,
1981-10-30,-30.00000000000007,-4.6165337063378225,down,
1981-11-06,-21.000000000000085,-3.230488811657012,down,
1981-11-09,-28.999999999999915,-4.4625287180399305,down,
1981-11-18,-19.99999999999993,-3.07648382335912,down,
1981-11-23,30.00000000000007,4.623765591534284,up,
1981-11-24,-35.00000000000014,-5.386558647827174,down,
1981-11-25,-19.99999999999993,-3.07648382335912,down,
1981-12-04,-26.999999999999957,-4.1545187414442015,down,
1981-12-07,36.99999999999992,5.701800509619338,up,
1981-12-14,-21.000000000000085,-3.230488811657012,down,
1981-12-21,25.0,3.853740650044933,up,
1981-12-23,19.99999999999993,3.0837157085555815,up,
1981-12-31,-20.999999999999908,-3.230488811656985,down,
1982-01-05,27.000000000000135,4.16175062664069,up,
1982-01-11,29.999999999999893,4.623765591534257,up,
1982-01-13,20.000000000000107,3.083715708555609,up,
1982-02-01,41.99999999999999,6.47182545110869,up,
1982-02-08,31.00000000000005,4.77777057983215,up,
1982-02-18,-24.00000000000002,-3.692503776550607,down,
1982-02-22,-36.99999999999992,-5.694568624422876,down,
1982-03-01,-19.99999999999993,-3.07648382335912,down,
1982-04-08,-23.000000000000043,-3.538498788252742,down,
1982-05-06,-20.999999999999908,-3.230488811656985,down,
1982-06-14,28.000000000000114,4.3157556149385545,up,
1982-06-30,-19.99999999999993,-3.07648382335912,down,
1982-07-08,-20.000000000000107,-3.0764838233591476,down,
1982-07-16,-22.000000000000064,-3.384493799954877,down,
1982-07-26,23.000000000000043,3.5457306734492033,up,
1982-08-02,-25.0,-3.8465087648484713,down,
1982-08-17,-38.00000000000008,-5.848573612720768,down,
1982-08-27,22.999999999999865,3.5457306734491763,up,
1982-09-10,19.99999999999993,3.0837157085555815,up,
1982-09-21,-21.999999999999886,-3.38449379995485,down,
1982-10-07,-40.000000000000036,-6.156583589316498,down,
1982-10-25,22.000000000000064,3.391725685151339,up,
1982-11-18,-20.999999999999908,-3.230488811656985,down,
1982-11-29,25.0,3.853740650044933,up,
1982-12-21,-24.00000000000002,-3.692503776550607,down,
1983-08-04,25.0,3.853740650044933,up,
